央视频道,#genre#
CCTV1,http://222.186.57.133:22222/php/cqtv.php?id=cctv1&time=20240926215313&ip=111.229.253.40
CCTV1,http://222.186.57.133:22222/php/akmg.php?id=cctv1&time=20240926215313&ip=111.229.253.40
CCTV1,http://222.186.57.133:22222/php/migu.php?id=cctv1&time=20240926215313&ip=111.229.253.40
CCTV1,http://222.186.57.133:22222/php/best.php?id=cctv1&live=/PLTV/&time=20240926215313&ip=111.229.253.40
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://222.186.57.133:22222/cmvideo.php/m3u8/6000000001000029752/wasusyt/index.m3u8$wasusyt?time=20240926215313&ip=111.229.253.40
CCTV1,http://222.186.57.133:22222/cmvideo.php/m3u8/5000000004000002226/bestzb/index.m3u8$bestzb?time=20240926215313&ip=111.229.253.40
CCTV1,http://222.186.57.133:22222/cmvideo.php/m3u8/1000000005000265001/ystenlive/index.m3u8$ystenlive?time=20240926215313&ip=111.229.253.40
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://video.qd.sdu.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/index.m3u8
CCTV1,http://mdxgh.tpddns.cn:88/mdxgh/cctv1
CCTV1,http://210.22.75.86:9901/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://58.245.97.28:9901/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://219.159.194.239:8181/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://113.218.230.180:8081/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://116.233.34.25:7777/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://219.159.194.157:8181/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://171.38.192.25:8088/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://183.185.252.91:9999/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://171.120.7.130:9999/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://122.224.58.42:85/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://120.238.148.3:8833/live1034.m3u8$晚高峰卡
CCTV1,http://[2409:8087:4c0a:22:1::43]:6610/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y&IASHttpSessionId=SLB397020240312045930228308
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$5.5M_1080
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8$4.0M_1080
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226514/index.m3u8$1.6M_720
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225870/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225872/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225924/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225932/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225934/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225976/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225984/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221225987/index.m3u8?
CCTV1,http://111.12.110.7:6610/PLTV/77777777/224/3221226052/index.m3u8?
CCTV2,http://222.186.57.133:22222/php/cqtv.php?id=cctv2&time=20240926215313&ip=111.229.253.40
CCTV2,http://222.186.57.133:22222/php/akmg.php?id=cctv2&time=20240926215313&ip=111.229.253.40
CCTV2,http://222.186.57.133:22222/php/migu.php?id=cctv2&time=20240926215313&ip=111.229.253.40
CCTV2,http://222.186.57.133:22222/php/best.php?id=cctv2&live=/PLTV/&time=20240926215313&ip=111.229.253.40
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://222.186.57.133:22222/cmvideo.php/m3u8/1000000001000023315/ystenlive/index.m3u8$ystenlive?time=20240926215313&ip=111.229.253.40
CCTV2,http://222.186.57.133:22222/cmvideo.php/m3u8/6000000001000014161/wasusyt/index.m3u8$wasusyt?time=20240926215313&ip=111.229.253.40
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8
CCTV2,http://117.161.12.124/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV2,http://61.138.54.155:2233/hls/9/index.m3u8
